Ingredients,Rate,Category,Information
talc,GOOD,Miscellaneous,"Naturally occurring magnesium silicate mineral that is typically the main ingredient in face powders and is also used as an absorbent in skincare products. It is considered safe to use in cosmetics. The U.S. Food & Drug Administration (FDA) has granted talc “GRAS” (generally recognized as safe) status. 
Older studies identified talc samples as containing traces of asbestos; however, modern-day testing of talc samples as used in cosmetics has either revealed zero asbestos or an amount so low that the risk from exposure is considered insignificant. Talc in cosmetics does not present a health hazard.
Talc made headlines a while back due a series of class action lawsuits due to the presence of talc in baby powder and its association with ovarian cancer when talcum powder is used for personal hygiene; however, despite the legal fracas, the evidence isn’t in support of this association, as summed up here:
“When applied to the context of a proposed talc/ovarian cancer association, we conclude that the weak statistical associations observed in a number of epidemiological studies do not support a causal association.”
Reference for this information:
Risk Analysis, July 2016, ePublication
International Journal of Toxicology, July-August 2015, Supplement, pages 66S-129S
European Journal of Cancer Prevention, November 2011, pages 501-507; and April 2008, pages 139-146"
tallow,POOR,Miscellaneous,"Substance extracted from the fatty deposits of animals, especially from suet (the fat of cattle and sheep). Tallow is often used to make soap and candles."
tamanu oil,GOOD,Skin-Soothing,"From a tree native to Polynesia, all of the miraculous claims attributed to it are hinged on anecdotal, not scientific, evidence. There’s no harm in using this oil in skin care—like most oils, it is composed of phospholipids and glycolipids, and these are natural constituents of healthy-looking skin and are good hydrating agents."
Tanacetum parthenium,AVERAGE,Skin-Soothing,none
tangerine oil,POOR,Plant Extracts,"Latin name Citrus reticulata, this fragrant, volatile citrus oil can be a skin sensitizer. Tangerine’s chief sensitizer potential comes from the fragrance chemical limonene.
Reference for this information:
Sensors, October 2014, pages 18,286-18,301"
tannic acid,BEST,Antioxidants,"Polyphenol ingredient that's considered a very good antioxidant.
Reference for this information:
Bioorganic & Medicinal Chemistry Letters, June 2002, pages 1567–1570"
tapioca starch,GOOD,Thickeners,"A natural thickener and texture enhancer derived from the roots of the Manihot esculenta (Cassava) shrub. It consists primarily of amylose and amylopectin, both components of starch and what gives tapioca its thickening properties.
In cosmetics, tapioca starch can also serve to stabilize emulsions, create gel textures, and aid in the delivery of key ingredients to skin.
References for this information:
http://www.cir-safety.org/sites/default/files/polysaccharide_gums.pdf
International Journal of Cosmetic Science, June 2003, pages 113-125"
tartaric acid,BEST,Exfoliant,"A naturally-occurring crystalline organic acid found in many plants, including grapes and tamarinds. It is one of the chief acids in wine. Tartaric acid has antioxidant properties and is an alpha hydroxy acid, though it is not as well-researched when it comes to skin benefits as glycolic and lactic acids.
References for this information:
Human Metabolome Database: http://www.hmdb.ca/metabolites/HMDB00956"
TEA,GOOD,Miscellaneous,none
TEA-lauryl sulfate,POOR,Thickeners/Emulsifiers,"Cleansing agent that's potentially drying, particularly when it’s the primary cleansing ingredient where the concentration is likely to exceed 10.5%. This cleansing agent is used far less often than ammonium or sodium sulfates or their derivatives. TEA-lauryl sulfate may be plant-derived or synthetic.
References for this information:
Encyclopedia of Shampoo Ingredients, Micelle Press, 1998, pages 392-393.
International Journal of Toxicology, July 1982, pages 143-167"
tea tree oil,GOOD,Skin-Soothing,"Also known as Melaleuca, from the name of its native Australian plant source, Melaleuca alternifolia. Tea tree oil has skin-soothing properties and is also an antioxidant. However, as with most fragrant plant oils, tea tree oil contains volatile components (such as linalool, limonene, and eucalyptol) that can be sensitizing, particularly if you apply 100% pure tea tree oil.
For improving skin concerns such as breakouts, tea tree oil concentrations of 2.5% to 10% are recommended. However, the amount present in most skincare products is usually less than 1%, as higher amounts impart a strong scent many people find intolerable, not to mention these higher amounts increase tea tree oil’s potential to sensitize and redden skin.
Careful use and storage of tea tree oil is advised; like all plant oils, it should be protected from routine exposure to light and air. Tea tree oil’s potential to sensitize skin increases when it is exposed to air because the oxidation makes the volatile components more potent.
References for this information:
International Journal of Dermatology, July 2013, pages 784-790
Journal of Food and Drug Analysis, June 2013, pages 169-176
Chemical Research in Toxicology, March 2012, pages 713-721
Australasian Journal of Dermatology, May 2007, pages 83-87
Indian Journal of Dermatology, Venereology, and Leprology, January-February 2007, pages 22-25
Clinical Microbiology Reviews, January 2006, pages 50-62"
terephthalylidene dicamphor sulfonic acid,BEST,Sunscreen Actives,none
tetradibutyl pentaerithrityl hydroxyhydrocinnamate,GOOD,Antioxidants,none
tetrahexyldecyl ascorbate,BEST,Antioxidants,"Tetrahexyldecyl ascorbate is a stable form of vitamin C that is considered an analogue of L-ascorbic acid. Unlike pure vitamin C (ascorbic acid), tetrahexyldecyl ascorbate is lipid (fat) soluble.
Some researchers believe this form of vitamin C has a greater affinity for skin because its fatty acid component helps aid penetration. It pairs well with other forms of vitamin C and retinol for enhanced effectiveness.
References for this information:
Clinics in Plastic Surgery, July 2016, page 601
Journal of the American Academy of Dermatology, Supplement, May 2014, pages AB26
Dermatologic Surgery, March 2002, pages 231-236"
tetrahydrobisdemethoxycurcumin,BEST,Skin-Soothing,Antioxidant and skin-soothing plant extract.
tetrahydrobisdemethoxydiferuloylmethane,BEST,Antioxidants,A synthetic antioxidant derived from curcumin.
tetrahydrodemethoxycurcumin,BEST,Skin-Soothing,none
tetrahydrodemethoxydiferuloylmethane,BEST,Skin-Soothing,"A synthetic antioxidant that provides the beneficial effects of the antioxidant curcumin but without the deep yellow coloration this plant imparts, which would be cosmetically unacceptable. Known collectively as curcuminoids, these compounds exert an skin-soothing benefit."
tetrahydrodiferuloylmethane,BEST,Skin-Soothing,Antioxidant and skin-soothing plant extract.
tetrahydromethoxycurcumin,BEST,Skin-Soothing,Antioxidant and skin-soothing plant extract.
tetrahydroxypropyl ethylenediamine,GOOD,Miscellaneous,none
tetrasodium EDTA,GOOD,Miscellaneous,Chelating agent used to prevent minerals present in formulations from bonding to other ingredients.
tetrasodium etidronate,GOOD,Miscellaneous,Used as a chelating agent in cosmetics to prevent varying mineral components from binding together and negatively affecting the formulation.
Theobroma cacao seed butter,BEST,Plant Extracts,none
thiamine HCL,GOOD,Vitamins,Vitamin B1. There is no research showing this to be effective when applied topically on skin.
thickening agent,GOOD,Thickeners/Emulsifiers,"Substances that can have a soft to hard wax-like texture or a creamy, emollient feel, and that can be great lubricants. There are literally thousands of ingredients in this category that give each and every lotion, cream, lipstick, foundation, and mascara, as well as other cosmetics products, their distinctive feel and form. The various combinations of thickeners play a large role in whether or not you prefer one product over another."
thioctic acid,BEST,Antioxidants,"Technical name for the antioxidant alpha lipoic acid. Unlike many antioxidants that are either water-soluble or oil-soluble, thioctic acid is both. Despite claims to the contrary, alpha lipoic acid isn’t the best antioxidant around. It is one of many that are beneficial for skin."
thiodipropionic acid,AVERAGE,Antioxidants,"Acid-based synthetic antioxidant. There is no research pertaining to its benefit for skin, but in theory, and when stably packaged, it should exert an antioxidant effect when applied topically."
thiotaurine,GOOD,Antioxidants,"Amino acid. Potentially, it can have antioxidant properties for skin.
Reference for this information:
Shiseido Corporation, www.shiseido.co.jp/e/e9608let/html/let00027.htm."
